answer,question,is_labeled,question_similaries
"Trong phẫu thuật hay các thủ thuật ở vùng cổ và thanh khí quản cần tránh làm tổn thương vào thần kinh chi phối cho thanh quản hoặc gây chấn thương cho thanh quản. Cần chú ý phát hiện sớm và điều trị triệt để các bệnh nội khoa như lao, giang mai",Phòng ngừa bệnh Liệt cơ mở thanh quản,1,"['Cách phòng bệnh liệt cơ mở thanh quản', 'Làm thế nào để không bị bệnh về cơ mở thanh quản']"
"Để chẩn đoán xác định cơ mở thanh quản cần dựa vào triệu chứng lâm sàng và các xét nghiệm
1. Chẩn đoán liệt dây thanh một bên:	
	Bệnh nhân khởi phát đột ngột với biểu hiện giọng nói yếu, thì thào và cường độ trầm nhưng một số vẫn có giọng cường độ cao do cơ chế bù trừ tự nhiên. Ngoài ra, bệnh nhân còn khó nuốt đặc biệt với chất lỏng do có tổn thương cả thần kinh thanh quản trên hoặc hơi thở ngắn và cảm giác thoát hơi khi nói. Soi thanh quản gián tiếp của người bệnh thấy một bên thanh cố định, dây còn lại hoạt động bình thường, thanh môn mở khoảng 5 mm
2. Chẩn đoán liệt dây thanh hai bên
Triệu chứng khởi phát từ từ với một cơn khó thở nhẹ, tăng lên khi gắng sức và kịch phát khi bệnh nhân tập thể thao, ho, cười
Ở giai đoạn ổn định, khó thở là triệu chứng chính: khó thở chậm thì hít kèm co kéo cơ hõm ức và thượng đòn. Khó thở nặng có thể khiến bệnh nhân tím tái và rối loạn tinh thần. Giọng nói bệnh nhân vẫn bình thường. Soi thanh quản gián tiếp quan sát thất hai dây thanh bình thường ở vị trí gần đường giữa, mỗi khi hít vào khe thanh môn cũng chỉ mở tối đa khoảng 2-3 mm, khi phát âm 2 thanh chạm khít nhau
3. Các xét nghiệm cần thực hiện
	Siêu âm vùng cổ: có thể phát hiện ra các khối u vùng cổ
	MRI vùng cổ ngực hoặc sọ não: phát hiện khối u là nguyên nhân gây nên tổn thương
	Xét nghiệm cơ bản như công thức máu, sinh hóa máu, chức năng tuyến giáp hay chức năng hô hấp dùng để đánh giá trước khi điều trị chứ không dùng làm điều kiện chẩn đoán",Các biện pháp chẩn đoán bệnh Liệt cơ mở thanh quản,1,"['Bệnh liệt cơ mở thanh quản', 'Chuẩn đoán bệnh liệt cơ mở thanh quản', 'Các phương pháp chuẩn đoán bệnh liệt cơ mở thanh quản']"
"Nguyên tắc điều trị liệt cơ mở thanh quản là khôi phục lại sự thông thoáng của đường thở
Điều trị ngoại khoa: phẫu thuật lấy bỏ u là nguyên nhân gây bệnh và theo dõi sự phục hồi dây thanh. Nếu không tìm ra nguyên nhân có thể dùng kỹ thuật tiêm vào dây thanh các chất liệu khác nhau để điều trị tạm thời hoặc vĩnh viễn
 Phẫu thuật qua đường nội thanh quản: dùng kim cố định dây thanh hoặc cắt dây thanh bằng laser, cắt sụn phễu bằng đường nội thanh quản hay cắt bán phần sau dây thanh qua soi treo vi phẫu
Phẫu thuật qua đường ngoài thanh quản: có thể cố định sụn phễu hoặc cắt bỏ sụn phễu và cố định dây thanh
	
Điều trị nội khoa
Liệt dây thanh một bên: sử dụng phương pháp luyện giọng được tiến hành và theo dõi bởi chuyên viên huấn luyện trong 6-8 tuần và mỗi giáo trình là 30-40 phút.
Liệt hai dây thanh: điều trị nội khoa chỉ mang tính chất hỗ trợ để bệnh nhân phục hồi nhanh hơn sau phẫu thuật",Các biện pháp điều trị bệnh Liệt cơ mở thanh quản,1,"['Điều trị bệnh liệt cơ mở thanh quản', 'Làm thế nào để khỏi bệnh liệt cơ mở thanh quản']"
"Việc chẩn đoán loạn sản sụn xương có thể được chẩn đoán ngay trong giai đoạn thai kỳ và ngay sau khi sinh dựa vào các phương pháp chẩn đoán:
1. Thông qua kiểm tra bằng siêu âm trong giai đoạn thai kỳ phát hiện hình ảnh thai nhi có hình ảnh não úng thủy và hình ảnh đầu thai nhi to bất thường giúp đánh và định hướng bệnh.
2. Xét nghiệm chọc ối lấy dịch xét nghiệm hoặc lấy máu trẻ sau khi sinh ra làm xét nghiệm gen giúp tìm bất thường về gen FGFR3 giúp tăng cường nhận định về chẩn đoán.
3. Người lớn và trẻ em sau sinh có thể được chẩn đoán bằng các phương pháp chẩn đoán hình ảnh như X quang, MRI, CT, cộng hưởng từ đánh giá các tổn thương về xương, khả năng gãy xương bệnh lý.
4. Sinh thiết xương phát hiện xương gồm các mô xương và xương bè chưa trưởng thành có hình dạng không đều, nhiều sụn...",Các biện pháp chẩn đoán bệnh Loạn sản sụn xương,1,"['Bệnh loạn sản sụn sương', 'Chuẩn đoán bệnh loạn sản sụn xương', 'Làm thế nào để chuẩn đoán bệnh loạn sản sụn xương', 'Các phương pháp chuẩn đoán bệnh loạn sản sụn xương']"
"Hiện nay, việc điều trị loạn sản xương không có biện pháp điều trị triệt để. Việc điều trị cần phải kết hợp với việc theo dõi sát sao để đạt hiệu quả điều trị tốt nhất.
1. Điều trị triệu chứng bằng cách sử dụng các thuốc như kháng viêm không steroid giúp giảm đau xương. Ngoài ra còn có thể dùng Hormone tăng trưởng để điều trị cho trẻ.
2. Phẫu thuật: Được thực hiện trong trường hợp điều trị hẹp ống sống, chèn ép tủy sống, chỉnh hình để kéo dài xương chi và sửa chữa chân bị cong.",Các biện pháp điều trị bệnh Loạn sản sụn xương,1,"['Điều trị bệnh loạn sản sụn xương', 'Cách khỏi bệnh loạn sản sụn xương', 'Làm thế nào để khỏi bệnh loạn sản sụn xương', 'Các phương pháp điều trị bệnh loạn sản sụn xương']"
"Lỗ tiểu đóng thấp là một dị tật bẩm sinh tại lỗ tiểu của bé trai, khi mà lỗ tiểu nằm thấp hơn vị trí bình thường. Tình trạng này xảy ra khi niệu đạo của trẻ quá ngắn, khiến cho lỗ tiểu nằm xa đỉnh quy đầu, thay vì niệu đạo mở ra đầu dương vật thì nó lại mở ra ở thân dương vật, trong đó chủ yếu là mở ra ở phần dưới thân dương vật. Khoảng cách giữa lỗ tiểu và đỉnh quy đầu càng lớn thì bệnh càng nặng, điều trị càng khó khăn.

Lỗ tiểu đóng thấp ở bé trai là một dị tật khá thường gặp, chiếm tỷ lệ 1/300 trẻ trai. Nếu trẻ mắc bệnh không được điều trị có thể gây vô sinh về sau, đặc biệt đối với lỗ tiểu thấp ở giữa thân dương vật hay ở gốc bìu kèm theo tình trạng cong dương vật.",Tổng quan bệnh Lỗ tiểu đóng thấp,1,"['Bệnh lỗ tiểu đóng thấp', 'Bệnh lỗ tiểu đóng thấp là gì', 'Lỗ tiểu đóng thấp là gì']"
"Trẻ bị lỗ tiểu đóng thấp vẫn chưa rõ nguyên nhân là gì. Tuy nhiên, có một tỷ lệ khá cao trẻ sinh ra bị lỗ tiểu đóng thấp bẩm sinh. Các yếu tố di truyền, nội tiết hay môi trường được cho là có liên quan với dị tật lỗ tiểu thấp ở trẻ.",Nguyên nhân bệnh Lỗ tiểu đóng thấp,1,"['Nguyên nhân gây bệnh lỗ tiểu đóng thấp', 'Vì sao bị bệnh lỗ tiểu đóng thấp', 'Nguyên nhân gây bệnh lỗ tiểu đóng thấp là gì']"
"Lỗ tiểu ở vị trí thấp hơn so với bình thường ở đầu dương vật. Dựa vào vị trí của lỗ tiểu sau khi dương vật đã được sửa thẳng, lỗ tiểu đóng thấp được chia làm 3 thể:
Thể trước (nhẹ): 50%
Thể giữa (trung bình): 20%
Thể sau (nặng): 30%
Tia tiểu không thẳng về phía trước mà bị lệch xuống dưới hoặc ra sau. Nếu lỗ tiểu quá gần gốc dương vật thì bệnh nhân không đứng tiểu được.
Dương vật cong khi cương.
Da quy đầu bị thiếu ở mặt bụng nhưng lại bị thừa ở mặt lưng.
Có thể có các bệnh kèm ở vùng sinh dục như: thoát vị bẹn, tinh hoàn ẩn, bìu chẻ đôi, chuyển vị dương vật bìu (dương vật thấp so với bìu), rối loạn phát triển giới tính.
Rối loạn tâm lý: Trẻ có thể bị mặc cảm, tự ti về bất thường lỗ tiểu nếu không được điều trị sớm.",Triệu chứng bệnh Lỗ tiểu đóng thấp,1,"['Các biểu hiện bệnh lỗ tiểu đóng thấp', 'Triệu chứng bệnh lỗ tiểu đóng thấp là gì']"
"Bệnh có thể được hạn chế phần nào nếu tránh được các yếu tố nguy cơ của bệnh như: phụ nữ mang thai cần tránh hút thuốc lá hoặc hít khói thuốc lá thụ động cũng như tránh xa các hóa chất độc hại; phụ nữ tránh mang thai sau 40 tuổi;...
Lỗ tiểu đóng thấp là một bệnh bẩm sinh, nếu được phát hiện và điều trị sớm sẽ hạn chế được các biến chứng nguy hiểm của bệnh. Vì vậy, bà mẹ cần theo dõi các bất thường về cơ quan sinh dục của trẻ cũng như bất thường khi trẻ đi tiểu,.. để đưa trẻ đến bác sĩ sớm nhất có thể, giúp chẩn đoán và điều trị bệnh kịp thời.",Phòng ngừa bệnh Lỗ tiểu đóng thấp,1,"['Phòng tránh bệnh lỗ tiểu đóng thấp', 'Làm sao để không bị bệnh lỗ tiểu đóng thấp', 'Làm sao để phòng ngừa bệnh lỗ tiểu đóng thấp']"
"Thăm khám lâm sàng: Bác sĩ chuyên khoa tiết niệu - nam học sẽ hỏi về tiền sử, bệnh sử và khám lâm sàng để có định hướng cho việc chẩn đoán.
Tầm soát bất thường nhiễm sắc thể: Dị tật lỗ tiểu đóng thấp thể nặng thường trên nền của một tình trạng bất thường nhiễm sắc thể, vì vậy những trường hợp này cần được tầm soát nhiễm sắc thể để phát hiện có bất thường hay không.
Các xét nghiệm khác: Siêu âm, nội tiết, tinh dịch đồ có thể được chỉ định để đánh giá chức năng của bệnh nhân, đặc biệt bệnh nhân đến khám vì vô sinh nghi do dị tật lỗ tiểu đóng thấp.",Các biện pháp chẩn đoán bệnh Lỗ tiểu đóng thấp,1,"['Chẩn đoán bệnh lỗ tiểu đóng thấp', 'Các phương pháp chẩn đoán bệnh lỗ tiểu đóng thấp', 'Cách chẩn đoán bệnh lỗ tiểu đóng thấp là gì']"
