answer,question,is_labeled,question_similaries
"Bệnh virus Ebola (Ebola virus disease - EVD) hay còn gọi là sốt xuất huyết Ebola (Ebola hemorrhagic feve - EHF), là một căn bệnh chết người gây ra bởi một loại virus.
Có tất cả 5 chủng virus Ebola, trong đó có 4 chủng có thể gây tác động nghiêm trọng tới con người. Khi virus Ebola đi vào cơ thể sẽ làm tổn thương hệ miễn dịch và các cơ quan khác, giảm khả năng đông máu, khiến cơ thể chảy máu (xuất huyết) nghiêm trọng và không thể kiểm soát được. Bệnh virus Ebola đặc biệt nguy hiểm với tỉ lệ tử vong cao từ 50 đến 90%, gióng lên hồi chuông cảnh báo tới nhiều nước và nhiều vùng lãnh thổ trên thế giới.",Tổng quan bệnh Virus Ebola,1,"['Bệnh virus Ebola là bệnh gì ?', 'Có bao nhiêu chủng virus Ebola ?', 'Bệnh nhiễm virus Ebola có nguy hiểm không ?']"
"Ban đầu, virus Ebola được tìm thấy ở loài khỉ, tinh tinh cũng như các loài linh trưởng khác ở châu Phi. Một chủng loại của Ebola cũng đã được phát hiện ở loài khỉ và lợn ở Philippines.
Lây truyền từ động vật sang người
Dịch ebola bắt nguồn từ đâu? Nhiều chuyên gia cho rằng virus này lây truyền từ động vật sang người thông qua chất dịch cơ thể của một con vật bị nhiễm bệnh, ví dụ như máu, phân và nước tiểu. 
Những người giết mổ hoặc ăn thịt động vật bị nhiễm bệnh sẽ có nguy cơ bị nhiễm virus khá cao, tương tự với việc tiếp xúc với phân hoặc nước tiểu của dơi sống trong các hang động cũng có thể là khởi nguồn cho cơn dịch.

Hiện chưa có bằng chứng cho thấy virus Ebola có thể lây lan qua vết cắn của côn trùng.

Lây truyền từ người sang người

Người bị nhiễm virus Ebola thường không lây cho người khác cho đến khi xuất hiện các triệu chứng rõ ràng. 

Các thành viên trong gia đình và nhân viên y tế thường bị nhiễm do chăm sóc bệnh nhân mắc bệnh, nhất là khi họ không sử dụng thiết bị bảo hộ như mặt nạ phẫu thuật và găng tay. 

Một yếu tố khác có thể là căn nguyên truyền bệnh, đó là việc sử dụng lại bơm kim tiêm do điều kiện kinh tế không cho phép. Một số trường hợp cho thấy dịch Ebola đã bùng lên do sử dụng bơm kim tiêm không tiệt trùng kỹ.",Nguyên nhân bệnh Virus Ebola,1,"['Virus Ebola có nguồn gốc từ đâu ?', 'Virus Ebola lây truyền như thế nào ?', 'Dịch Ebola bắt nguồn từ đâu ?']"
"Các triệu chứng Ebola thường khởi phát từ 2 đến 21 ngày sau khi bị nhiễm virus bao gồm: Sốt, nhức đầu, đau nhức cơ thể, đau bắp cơ, đau bụng tiêu chảy, đau họng, nôn mửa và đôi khi chảy máu bất thường, đi kèm với đó là sự suy giảm chức năng gan và thận.
Bệnh virus Ebola từng có thời gian bị lầm tưởng là sốt rét nhưng không phải. Theo thời gian, các triệu chứng Ebola xuất hiện càng rõ ràng hơn, bao gồm:
Buồn nôn và ói mửa
Đau bụng, tiêu chảy (có thể có máu)
Mắt đỏ
Vết nổi ban to ra
Đau ngực và ho
Sụt cân
Chảy máu trong bụng
Chảy máu từ nhiều nơi trên cơ thể, ví dụ những mảng bầm máu dưới da, chảy máu từ tai, mắt, hậu môn, âm đạo, chân răng",Triệu chứng bệnh Virus Ebola,1,"['Thời gian khởi phát bệnh Ebola là bao lâu ?', 'Những triệu chứng điển hình của bệnh Ebola là gì ?']"
"Bệnh virus Ebola không lây truyền qua tiếp xúc thông thường. Ebola hầu hết lây truyền thông qua tiếp xúc trực tiếp với máu, dịch tiết cơ thể (tinh dịch, sữa mẹ, mồ hôi, nước mắt) hoặc chất bài tiết, chất thải của người mắc bệnh Ebola; thông qua các vật như kim tiêm chưa được tiệt trùng nhiễm dịch thể của người bệnh hoặc thông qua tiếp xúc trực tiếp với cơ thể của nạn nhân mắc bệnh Ebola.
	
	
	Bệnh virus Ebola không thể lây truyền từ một người bị nhiễm bệnh trước khi họ có những triệu chứng của bệnh.
	
	
	Người đã khỏi bệnh Ebola vẫn có thể lây nhiễm cho người khác khi máu hoặc các dịch tiết khác trong cơ thể họ vẫn còn virus Ebola, bởi máu và dịch tiết có thể vẫn nhiễm virus trong vài tuần.
	
	
	Chưa có bằng chứng nào chỉ ra rằng bệnh Ebola lây truyền qua không khí hoặc qua vết cắn côn trùng.
	
	
	Khẩu trang, găng tay, áo choàng bảo hộ, kính bảo hộ có thể ngăn lây truyền bệnh Ebola từ bệnh nhân sang người chăm sóc.",Đường lây truyền bệnh Virus Ebola,1,"['Bệnh Ebola thường lây truyền qua đường nào ?', 'Tiếp xúc trực tiếp với người bệnh Ebola có mắc bệnh không ?']"
"Bệnh virus Ebola tuy hiếm gặp nhưng rất trầm trọng và chủ yếu diễn ra ở Trung và Tây Phi, tuy nhiên, đã có những trường hợp bệnh xuất hiện ở những vùng khác trên thế giới. Ebola có thể gây bệnh cho cả nam giới và nữ giới, không loại trừ bất kì lứa tuổi nào.

Đối với hầu hết mọi người, nguy cơ bị mắc Ebola là rất thấp. Tuy nhiên, nguy cơ sẽ gia tăng đối với một số trường hợp sau:


	
	Người thường xuyên tiếp xúc, chăm sóc bệnh nhân mắc bệnh Ebola: là đối tượng có nguy cơ cao nhất vì có thể tiếp xúc với máu hoặc dịch tiết cơ thể của bệnh nhân. Đối tượng này thường là người thân trong gia đình người bệnh, nhân viên y tế.
	
	
	Người du lịch đến châu Phi: khi dịch bệnh bùng phát, bạn có nguy cơ cao bị nhiễm bệnh nếu đi du lịch hoặc làm việc ở những nơi xảy ra dịch bệnh Ebola.
	
	
	Người thực hiện nghiên cứu trên động vật: Các nhà nghiên cứu, chuyên gia có nhiều khả năng bị nhiễm virus Ebola nếu thực hiện nghiên cứu trên động vật, đặc biệt là trên những con khỉ được nhập khẩu từ châu Phi hay Philippines.
	
	
	Người thực hiện chôn cất, mai táng: Kể cả khi đã qua đời, thi thể của những người đã chết vì Ebola vẫn có thể truyền bệnh.",Đối tượng nào có thể mắc bệnh Ebola ?,1,['Bệnh do virus Ebola chủ yếu diễn ra ở đâu ?']
"Khi có dịch bệnh bùng phát, cách phòng ngừa tốt nhất là không nên đi du lịch, thăm viếng tới đất nước đang có dịch bệnh Ebola. 
Nếu bắt buộc phải đi, cần chú ý thực hiện các biện pháp bảo vệ để tránh toàn bộ những tác nhân lây nhiễm trong quá trình du lịch, tiếp xúc với khu dịch bệnh. Nên trao đổi trước với các bác sĩ, cơ quan hỗ trợ y tế nếu bạn có kế hoạch đi đến những khu vực đang bùng phát dịch bệnh.  
Sau khi đi du lịch, nếu thấy bản thân hoặc bất kỳ ai trong nhóm đồng hành có dấu hiệu bị sốt, nhức đầu hoặc đau nhức cơ và khớp trong vòng 3 tuần trở về từ chuyến đi, cần liên hệ ngay với bác sĩ và tiến hành kiểm tra ngay lập tức. 

Đối với người bệnh:

Cần cách ly, điều trị tại cơ sở y tế theo hướng dẫn của Bộ Y tế; sử dụng trang bị phòng hộ cá nhân đúng để hạn chế lây lan dịch bệnh. Virus Ebola cũng được bài tiết qua tinh dịch và sữa mẹ nên cần tư vấn cho bệnh nhân cách phòng tránh lây truyền sau khi xuất viện.

Đối với người tiếp xúc gần:

Người chăm sóc bệnh nhân cần thực hiện nghiêm ngặt các biện pháp phòng hộ cá nhân (đeo khẩu trang, đeo kính bảo hộ mắt, mũ, găng tay bảo hộ, bao giầy, quần áo) rửa tay bằng xà phòng hoặc dung dịch sát khuẩn khác sau mỗi lần tiếp xúc với người bệnh.

Chú ý thực hiện tốt vệ sinh cá nhân, rửa tay bằng xà phòng và sử dụng các thuốc sát khuẩn đường mũi họng.",Phòng ngừa bệnh Virus Ebola,1,"['Làm thế nào để phòng ngừa bệnh do virus Ebola ?', 'Làm thế nào để phát hiện người nhiễm bệnh Ebola khi đi du lịch ?']"
"Bệnh virus Ebola khó chẩn đoán vì các dấu hiệu và triệu chứng ban đầu khá giống với một số bệnh như: thương hàn, sốt rét, dịch tả, sốt xuất huyết do virus khác... Nếu bác sĩ nghi ngờ ai nhiễm virus Ebola, họ sẽ yêu cầu thực hiện các xét nghiệm máu để nhanh chóng xác định chủng loại virus, bao gồm xét nghiệm Elisa và xét nghiệm PCR, trong đó:
Công thức chỉ số máu: thường có giảm bạch cầu, giảm tiểu cầu
Hóa sinh máu: tăng AST, ALT. Creatinin máu và ure có thể tăng trong thời gian tiến triển của bệnh.
Rối loạn đông máu nội quản rải rác.",Các biện pháp chẩn đoán bệnh Virus Ebola,1,"['Bệnh do virus Ebola thường bị nhầm với căn bệnh nào ?', 'Những xét nghiệm giúp cho quá trình chẩn đoán bệnh Ebola là gì ?']"
"Cách duy nhất để sớm khắc phục bệnh virus Ebola là đến bệnh viện, các cơ sở y tế chuyên khoa để được điều trị ngay từ khi mới nghi ngờ tiếp xúc với virus hay giai đoạn các triệu chứng vẫn còn sơ khai. 
Hiện vẫn chưa có vắc-xin phòng ngừa căn bệnh này, các nhà khoa học vẫn đang trong quá trình nghiên cứu thông qua thử nghiệm một số phương hướng điều trị chống lại bệnh bằng cách phá hủy các tế bào đã nhiễm virus.
Các bác sĩ thường chỉ làm giảm và kiểm soát các triệu chứng của bệnh bằng cách:
Truyền dịch và cung cấp chất điện giải thông qua uống hoặc tiêm tĩnh mạch
Thở oxy
Chỉ định thuốc điều chỉnh huyết áp
Truyền máu bù lại lượng máu bị mất
Điều trị các bệnh nhiễm trùng khác.
Cô lập bệnh nhân mắc bệnh Ebola nhằm ngăn chặn lây truyền
Hậu quả của dịch bệnh Ebola để lại là vô cùng nghiêm trọng, được đánh giá là “một trong những bệnh dễ gây chết người nhất từng được biết đến”. Bệnh Ebola không những lấy đi sự sống của người bệnh mà còn ẩn giấu nguy cơ bùng phát đại dịch. Kể cả những người được xác định đã chữa khỏi cũng luôn tiềm tàng nguy cơ tái phát trở lại, đây là điều đáng lo ngại bởi hiện nay vẫn chưa có vắc xin cũng như phương án điều trị triệt để cho căn bệnh này.  
",Các biện pháp điều trị bệnh Virus Ebola,1,"['Bệnh do virus Ebola đã có vaccine chưa ?', 'Hậu quả để lại của dịch bệnh Ebola là gì ?']"
"Tay chân bình thường sẽ dựa vào cảm giác để điều chỉnh những hoạt động như rút tay chân lại khi chạm phải vật nóng, điều chỉnh khi địa hình thay đổi. Nếu bạn bị tê tay chân thì sẽ gây giảm cảm giác và thậm chí năng hơn có thể gây mất cảm giác hoàn toàn.
Tình trạng này có thể khởi phát rất nhẹ nhàng như tê rần ở các đầu ngón tay, có cảm giác như bị châm chích ở đầu ngón tay hoặc bị giảm cảm giác. Những triệu chứng này có thể ngày càng nặng hơn, lan dần lên phía bàn tay, cổ tay, cẳng tay, cánh tay… và có thể đi đến tình trạng mất hết cảm giác. Tê bì chân tay khi mang thai, tê bì chân tay ở người già là tình trạng rất phổ biến trong cộng đồng.
Tình trạng có thể là tạm thời hoặc là triệu chứng của bệnh lý khác.",Tổng quan bệnh Tê bì tay chân,1,"['Tê bì tay chân là gì ?', 'Triệu chứng của bệnh tê bì tay chân biểu hiện như thế nào ?']"
"Theo kết quả nghiên cứu từ Viện Rối loạn thần kinh và đột quỵ Quốc gia (NINDS), tê bì chân tay kèm theo đau nhức xương khớp xuất hiện do nhiều nguyên nhân khác nhau.
Trong đó,  hơn 75% trường hợp tê tay chân là do bệnh lý nguy hiểm sau:
Thoái hóa cột sống: Thoái hóa cột sống khiến sụn khớp, đốt sống bị bào mòn, cọ xát với rễ thần kinh gây đau nhức, tê bì vùng cổ lan xuống tay hoặc đau từ thắt lưng xuống chân. Hiện tượng tê tay chân do thoái hóa thường xảy ra về đêm hoặc khi thay đổi thời tiết.
Thoát vị đĩa đệm: Thoát vị đĩa đệm là nguyên nhân gây tê tay chân phổ biến. Đây là ệnh lý thường gặp ở đĩa đệm cột sống cổ và thắt lưng. Khi đĩa đệm tràn ra khỏi bao xơ đĩa đệm sẽ chèn ép dây thần kinh cột sống gây tê bì cánh tay cùng 2 chân, hạn chế vận động cơ thể.
Thoái hóa khớp: khớp tay, khớp đầu gối hoặc khớp háng bị bào mòn, tổn thương do các yếu tố tiêu cực sẽ gây hạn chế vận động và dẫn đến tê bì cánh tay, bàn chân. 
Viêm đa khớp dạng thấp: Tình trạng khớp tay, khớp chân bị viêm nhiễm, tổn thương sẽ gây tê bì tay chân. Triệu chứng này gặp nhiều sau khi nằm, ngồi quá lâu tại một vị trí và đi kèm cứng khớp.
Hẹp ống sống: Đây là dạng bệnh bẩm sinh, cột sống bị biến dạng, thu nhỏ lại khiến các rễ thần kinh chạy qua bị chèn ép và gây tê tay chân kéo dài. Bệnh để lâu sẽ gây tắc nghẽn lưu thông máu, vận động khó khăn 
Đa xơ cứng: Đây là bệnh rối loạn tự miễn và tác động trực tiếp đến hệ thần kinh TW, gây tổn thương màng bọc Myelin dẫn đến tê tay chân, co thắt cơ bắp, mệt mỏi.
Viêm đa rễ thần kinh: Bệnh lý xảy ra khi hệ thần kinh ngoại biên tổn thương gây rối loạn cảm giác và hạn chế vận động.
Xơ vữa động mạch: xơ vữa động mạch gây hẹp lòng mạch, chèn ép dây thần kinh chạy qua và dẫn đến tê bì tay chân.
Nguyên nhân do chấn thương: Tai nạn, va chạm, ngã khiến dây thần kinh ngoại biên tổn thương cũng gây tê bì chân tay, hạn chế vận động.
Tê bì chân tay sinh lý, gặp trong các trường hợp:
Mạch máu và thần kinh bị chèn ép khiến máu khó lưu thông: tê bì chân tay sau sinh hoặc do ngồi, đứng, ngủ sai tư thế, duy trì một tư thế quá lâu, lao động nặng, ngồi máy tính liên tục, chạy xe nhiều giờ…
Tư thế làm việc: Bê vác vật nặng, ngồi, đứng quá lâu ở một tư thế, lười vận động và thường xuyên ngồi dưới máy lạnh sẽ gây tổn thương dây thần kinh. Từ đó gây tê tay chân.
Sinh hoạt sai tư thế: Ngủ nghiêng người, nằm gối quá cao, liên tục dùng giày cao gót,… sẽ khiến tay chân tê bì.
Ảnh hưởng thời tiết: một số người gặp trời lạnh sẽ bị rối loạn cảm giác, tê bì.
Stress, mệt mỏi: Căng thẳng, mệt mỏi kích thích các tế bào thần kinh gần bề mặt da tê ngứa và tê bì tay chân.
Tê chân tay có thể là kết quả của tác dụng phụ khi dùng một số thuốc.
Sớm phát hiện nguyên nhân tê bì chân tay giúp hạn chế biến chứng, nâng cao hiệu quả chữa bệnh và dự phòng tái phát.",Nguyên nhân bệnh Tê bì tay chân,1,"['Tê bì tay chân thường là triệu chứng của những bệnh nào ?', 'Tê bì tay chân sinh lý thường gặp trong những trường hợp nào ?', 'Những bệnh lý nguy hiểm nào có biểu hiện tê bì tay chân ?']"
