question1,question2,label
"Trong tình huống nào thì người bệnh u máu gan sẽ được phẫu thuật cấy ghép gan thưa bác sĩ?","Người bệnh u máu gan được cấy ghép gan khi nào?",1
"Trong tình huống nào thì người bệnh u máu gan sẽ được phẫu thuật cấy ghép gan thưa bác sĩ?","Khi nào người bệnh u máu gan sẽ được phẫu thuật?",1
"Người bệnh u máu gan được cấy ghép gan khi nào?","Khi nào người bệnh u máu gan sẽ được phẫu thuật?",1
"Triệu chứng lâm sàng của bệnh u máu gan là gì thưa bác sĩ?","Các triệu chứng của bệnh u máu gan?",1
"Triệu chứng lâm sàng của bệnh u máu gan là gì thưa bác sĩ?","Dấu hiệu của u máu gan?",1
"Các triệu chứng của bệnh u máu gan?","Dấu hiệu của u máu gan?",1
"Thưa bác sĩ, bệnh u máu gan có hay gặp không ạ?","Bệnh  U máu gan là bệnh gì ?",1
"Thưa bác sĩ, bệnh u máu gan có hay gặp không ạ?","Nguyên nhân gây ra bệnh  U máu gan là gì ?",1
"Thưa bác sĩ, bệnh u máu gan có hay gặp không ạ?","Tỷ lệ gặp bệnh U máu gan là bao nhiêu ?",1
"Thưa bác sĩ, bệnh u máu gan có hay gặp không ạ?","Bệnh U máu gan có nguồn gốc từ đâu ?",1
"Bệnh  U máu gan là bệnh gì ?","Nguyên nhân gây ra bệnh  U máu gan là gì ?",1
"Bệnh  U máu gan là bệnh gì ?","Tỷ lệ gặp bệnh U máu gan là bao nhiêu ?",1
"Bệnh  U máu gan là bệnh gì ?","Bệnh U máu gan có nguồn gốc từ đâu ?",1
"Nguyên nhân gây ra bệnh  U máu gan là gì ?","Tỷ lệ gặp bệnh U máu gan là bao nhiêu ?",1
"Nguyên nhân gây ra bệnh  U máu gan là gì ?","Bệnh U máu gan có nguồn gốc từ đâu ?",1
"Tỷ lệ gặp bệnh U máu gan là bao nhiêu ?","Bệnh U máu gan có nguồn gốc từ đâu ?",1
"Ai có nguy cơ cao mắc bệnh ung thư túi mật ạ?","Độ tuổi nào có nguy cơ mắc bệnh Ung thư túi mật ?",1
"Ai có nguy cơ cao mắc bệnh ung thư túi mật ạ?","Nguyên nhân gây ra bệnh Ung thư túi mật là gì ?",1
"Ai có nguy cơ cao mắc bệnh ung thư túi mật ạ?","Sỏi túi mật có gây nên bệnh Ung thư túi mật không ?",1
"Ai có nguy cơ cao mắc bệnh ung thư túi mật ạ?","Biến chứng của bệnh Ung thư túi mật là gì ?",1
"Độ tuổi nào có nguy cơ mắc bệnh Ung thư túi mật ?","Nguyên nhân gây ra bệnh Ung thư túi mật là gì ?",1
"Độ tuổi nào có nguy cơ mắc bệnh Ung thư túi mật ?","Sỏi túi mật có gây nên bệnh Ung thư túi mật không ?",1
"Độ tuổi nào có nguy cơ mắc bệnh Ung thư túi mật ?","Biến chứng của bệnh Ung thư túi mật là gì ?",1
"Nguyên nhân gây ra bệnh Ung thư túi mật là gì ?","Sỏi túi mật có gây nên bệnh Ung thư túi mật không ?",1
"Nguyên nhân gây ra bệnh Ung thư túi mật là gì ?","Biến chứng của bệnh Ung thư túi mật là gì ?",1
"Sỏi túi mật có gây nên bệnh Ung thư túi mật không ?","Biến chứng của bệnh Ung thư túi mật là gì ?",1
"Sau thay khớp háng nhân tạo, người bệnh cần chú ý gì ạ?","Những biến chứng hay gặp sau thay khớp hánh nhân tạo là gì ?",1
"Sau thay khớp háng nhân tạo, người bệnh cần chú ý gì ạ?","Sau thay khớp háng nhân tạo có bị trật khớp lại không ?",1
"Sau thay khớp háng nhân tạo, người bệnh cần chú ý gì ạ?","Các triệu chứng thường gặp sau thay khớp háng là gì ?",1
"Sau thay khớp háng nhân tạo, người bệnh cần chú ý gì ạ?","Nên vận động như thế nào sau khi thay khớp háng ?",1
"Những biến chứng hay gặp sau thay khớp hánh nhân tạo là gì ?","Sau thay khớp háng nhân tạo có bị trật khớp lại không ?",1
"Những biến chứng hay gặp sau thay khớp hánh nhân tạo là gì ?","Các triệu chứng thường gặp sau thay khớp háng là gì ?",1
"Những biến chứng hay gặp sau thay khớp hánh nhân tạo là gì ?","Nên vận động như thế nào sau khi thay khớp háng ?",1
"Sau thay khớp háng nhân tạo có bị trật khớp lại không ?","Các triệu chứng thường gặp sau thay khớp háng là gì ?",1
"Sau thay khớp háng nhân tạo có bị trật khớp lại không ?","Nên vận động như thế nào sau khi thay khớp háng ?",1
"Các triệu chứng thường gặp sau thay khớp háng là gì ?","Nên vận động như thế nào sau khi thay khớp háng ?",1
"Tôi hay bị tê bì các ngón tay, không biết có phải tôi bị hội chứng ống cổ tay không ạ?","Hội chứng ống cổ tay là bệnh gì ?",1
"Tôi hay bị tê bì các ngón tay, không biết có phải tôi bị hội chứng ống cổ tay không ạ?","Cơ chế gây bệnh của hội chứng ống cô tay là gì ?",1
"Tôi hay bị tê bì các ngón tay, không biết có phải tôi bị hội chứng ống cổ tay không ạ?","Đối tượng nào hay mắc bệnh hội chứng ống cổ tay ?",1
"Tôi hay bị tê bì các ngón tay, không biết có phải tôi bị hội chứng ống cổ tay không ạ?","Nghề nghiệp nào hay gặp bệnh hội chứng ống cổ tay ?",1
"Tôi hay bị tê bì các ngón tay, không biết có phải tôi bị hội chứng ống cổ tay không ạ?","Triệu chứng hay gặp của bệnh hội chứng ống cổ tay là gì ?",1
"Tôi hay bị tê bì các ngón tay, không biết có phải tôi bị hội chứng ống cổ tay không ạ?","Làm thế nào để chẩn đoán bệnh hội chứng ống cổ tay ?",1
"Hội chứng ống cổ tay là bệnh gì ?","Cơ chế gây bệnh của hội chứng ống cô tay là gì ?",1
"Hội chứng ống cổ tay là bệnh gì ?","Đối tượng nào hay mắc bệnh hội chứng ống cổ tay ?",1
"Hội chứng ống cổ tay là bệnh gì ?","Nghề nghiệp nào hay gặp bệnh hội chứng ống cổ tay ?",1
"Hội chứng ống cổ tay là bệnh gì ?","Triệu chứng hay gặp của bệnh hội chứng ống cổ tay là gì ?",1
"Hội chứng ống cổ tay là bệnh gì ?","Làm thế nào để chẩn đoán bệnh hội chứng ống cổ tay ?",1
"Cơ chế gây bệnh của hội chứng ống cô tay là gì ?","Đối tượng nào hay mắc bệnh hội chứng ống cổ tay ?",1
"Cơ chế gây bệnh của hội chứng ống cô tay là gì ?","Nghề nghiệp nào hay gặp bệnh hội chứng ống cổ tay ?",1
"Cơ chế gây bệnh của hội chứng ống cô tay là gì ?","Triệu chứng hay gặp của bệnh hội chứng ống cổ tay là gì ?",1
"Cơ chế gây bệnh của hội chứng ống cô tay là gì ?","Làm thế nào để chẩn đoán bệnh hội chứng ống cổ tay ?",1
"Đối tượng nào hay mắc bệnh hội chứng ống cổ tay ?","Nghề nghiệp nào hay gặp bệnh hội chứng ống cổ tay ?",1
"Đối tượng nào hay mắc bệnh hội chứng ống cổ tay ?","Triệu chứng hay gặp của bệnh hội chứng ống cổ tay là gì ?",1
"Đối tượng nào hay mắc bệnh hội chứng ống cổ tay ?","Làm thế nào để chẩn đoán bệnh hội chứng ống cổ tay ?",1
"Nghề nghiệp nào hay gặp bệnh hội chứng ống cổ tay ?","Triệu chứng hay gặp của bệnh hội chứng ống cổ tay là gì ?",1
"Nghề nghiệp nào hay gặp bệnh hội chứng ống cổ tay ?","Làm thế nào để chẩn đoán bệnh hội chứng ống cổ tay ?",1
"Triệu chứng hay gặp của bệnh hội chứng ống cổ tay là gì ?","Làm thế nào để chẩn đoán bệnh hội chứng ống cổ tay ?",1
"Những triệu chứng hay gặp của bệnh ung thư tuyến tiền liệt là gì ạ?","Bệnh Ung thư tuyến tiền liệt được chia làm mấy giai đoạn ?",1
"Những triệu chứng hay gặp của bệnh ung thư tuyến tiền liệt là gì ạ?","Các triệu chứng đường tiểu hay gặp ở bệnh nhân ung thư tuyến tiền liệt là gì ?",1
"Những triệu chứng hay gặp của bệnh ung thư tuyến tiền liệt là gì ạ?","Biểu hiện bệnh ở giai đoạn nặng của ung thư tuyến tiền liệt là gì ?",1
"Những triệu chứng hay gặp của bệnh ung thư tuyến tiền liệt là gì ạ?","Bệnh ung thư tuyến tiền liệt có di căn được không ?",1
"Những triệu chứng hay gặp của bệnh ung thư tuyến tiền liệt là gì ạ?","Các biến chứng của bệnh ung thư tuyến tiền liệt là gì ?",1
"Bệnh Ung thư tuyến tiền liệt được chia làm mấy giai đoạn ?","Các triệu chứng đường tiểu hay gặp ở bệnh nhân ung thư tuyến tiền liệt là gì ?",1
"Bệnh Ung thư tuyến tiền liệt được chia làm mấy giai đoạn ?","Biểu hiện bệnh ở giai đoạn nặng của ung thư tuyến tiền liệt là gì ?",1
"Bệnh Ung thư tuyến tiền liệt được chia làm mấy giai đoạn ?","Bệnh ung thư tuyến tiền liệt có di căn được không ?",1
"Bệnh Ung thư tuyến tiền liệt được chia làm mấy giai đoạn ?","Các biến chứng của bệnh ung thư tuyến tiền liệt là gì ?",1
"Các triệu chứng đường tiểu hay gặp ở bệnh nhân ung thư tuyến tiền liệt là gì ?","Biểu hiện bệnh ở giai đoạn nặng của ung thư tuyến tiền liệt là gì ?",1
"Các triệu chứng đường tiểu hay gặp ở bệnh nhân ung thư tuyến tiền liệt là gì ?","Bệnh ung thư tuyến tiền liệt có di căn được không ?",1
"Các triệu chứng đường tiểu hay gặp ở bệnh nhân ung thư tuyến tiền liệt là gì ?","Các biến chứng của bệnh ung thư tuyến tiền liệt là gì ?",1
"Biểu hiện bệnh ở giai đoạn nặng của ung thư tuyến tiền liệt là gì ?","Bệnh ung thư tuyến tiền liệt có di căn được không ?",1
"Biểu hiện bệnh ở giai đoạn nặng của ung thư tuyến tiền liệt là gì ?","Các biến chứng của bệnh ung thư tuyến tiền liệt là gì ?",1
"Bệnh ung thư tuyến tiền liệt có di căn được không ?","Các biến chứng của bệnh ung thư tuyến tiền liệt là gì ?",1
"Nguyên nhân gây ra bệnh Ung thư tuyến tiền liệt là gì ạ","Lối sống sinh hoạt hằng ngày có liên quan đến bệnh Ung thư tuyến tiền liệt không ?",1
"Nguyên nhân gây ra bệnh Ung thư tuyến tiền liệt là gì ạ","Hút thuốc lá có ảnh hưởng đến bệnh Ung thư tuyến tiền liệt không ?",1
"Nguyên nhân gây ra bệnh Ung thư tuyến tiền liệt là gì ạ","Bệnh Ung thư tuyến tiền liệt có di truyền được không ?",1
"Lối sống sinh hoạt hằng ngày có liên quan đến bệnh Ung thư tuyến tiền liệt không ?","Hút thuốc lá có ảnh hưởng đến bệnh Ung thư tuyến tiền liệt không ?",1
"Lối sống sinh hoạt hằng ngày có liên quan đến bệnh Ung thư tuyến tiền liệt không ?","Bệnh Ung thư tuyến tiền liệt có di truyền được không ?",1
"Hút thuốc lá có ảnh hưởng đến bệnh Ung thư tuyến tiền liệt không ?","Bệnh Ung thư tuyến tiền liệt có di truyền được không ?",1
"Thưa bác sĩ, bệnh Ung thư tuyến tiền liệt có hay gặp không ạ","Ai có nguy cơ cao mắc bệnh ung thư tuyến tiền liệt ?",1
"Thưa bác sĩ, bệnh Ung thư tuyến tiền liệt có hay gặp không ạ","Tỷ lệ gặp Ung thư tuyến tiền liệt là bao nhiêu ?",1
"Thưa bác sĩ, bệnh Ung thư tuyến tiền liệt có hay gặp không ạ","Tỷ lệ gặp ung thư tuyến tiền liệt ở nam giới là bao nhiêu ?",1
"Ai có nguy cơ cao mắc bệnh ung thư tuyến tiền liệt ?","Tỷ lệ gặp Ung thư tuyến tiền liệt là bao nhiêu ?",1
"Ai có nguy cơ cao mắc bệnh ung thư tuyến tiền liệt ?","Tỷ lệ gặp ung thư tuyến tiền liệt ở nam giới là bao nhiêu ?",1
"Tỷ lệ gặp Ung thư tuyến tiền liệt là bao nhiêu ?","Tỷ lệ gặp ung thư tuyến tiền liệt ở nam giới là bao nhiêu ?",1
"Cách đây 1 tháng cháu tôi bị gãy xương gót, tôi muốn hỏi thời gian mang bột là bao lâu ạ?","Khi bị gãy xương điều trị bó bột thì có nên tháo bột sớm không ?",1
"Cách đây 1 tháng cháu tôi bị gãy xương gót, tôi muốn hỏi thời gian mang bột là bao lâu ạ?","Thời gian bó bột trong gãy xương là bao lâu ?",1
"Cách đây 1 tháng cháu tôi bị gãy xương gót, tôi muốn hỏi thời gian mang bột là bao lâu ạ?","Thời gian bó bột trong chấn thương phần mềm hoặc sau nắn trật khớp là bao nhiêu ?",1
