question1,question2,label
Sữa non và những điều mẹ cần biết,Sữa non có thành phần gì ?,1
Trước khi tập thể dục nên làm những gì ?,Làm sao để có động lực tập thể dục ?,1
Cần vận động như thế nào để phòng tránh chấn thương thể thao ?,Phòng ngừa bệnh Tiêu chảy?,0
Các biện pháp điều trị bệnh Lao phổi,Các yếu tố nguy cơ làm tăng khả năng mắc bệnh Uốn ván là gì ?,0
Có mấy loại tiêu chảy ?,Nguyên nhân gây ra tiêu chảy là gì ?,1
Giải đáp thắc mắc bà bầu cần bao nhiêu vitamin C khi mang thai là đủ?,Cần bổ sung Vitamin C khi mang thai mỗi ngày bao nhiêu ?,1
Điều trị bệnh Hội chứng móng và xương bánh chè như nào,Bệnh Leukemia cấp có lây truyền không,0
Các biện pháp chẩn đoán bệnh Tăng acid uric máu?,Nồng độ acid uric máu như thế nào được coi là tăng?,1
Những triệu chứng báo hiệu Vô kinh là gì ?,Sữa bột cho trẻ biếng ăn cần có những yếu tố gì ?,0
Người bị viêm gan B nên làm gì để tránh bị ung thư gan ?,Phương pháp sinh không đau là phương pháp gì ?,0
Đối tượng nào có nguy cơ mắc bệnh Viêm buồng trứng ?,Những vi khuẩn nào phổ biến nhất gây bệnh Viêm ống dẫn trứng ?,0
Triệu chứng bệnh Lồng ruột,Bệnh lý Viêm khớp phản ứng có thể gây tổn thương cho những cơ quan nào ?,0
Độ tuổi nên uống dự phòng vắc xin rota?,Phương pháp điều trị bệnh Huyết khối tĩnh mạch sâu,0
Viêm dây thần kinh thị gây ảnh hưởng gì?,Mẹ cần làm gì để phòng tránh bệnh viêm gan C ?,0
Bệnh trào ngược dạ dày thực quản có lây truyền không?,Bệnh Xuất huyết giảm tiểu cầu huyết khối có lây truyền được không ?,0
Chấn thương có thể gây ra bệnh Viêm tai giữa không ?,Siêu âm bụng có thể phát hiện các bất thường tinh hoàn nào?,0
Ăn thịt nhiều ảnh hưởng gì đến hệ tim mạch ?,Ăn nhiều thịt ảnh hưởng như thế nào đến các bệnh chuyển hóa ?,1
Biểu hiện của hạ canxi huyết là gì ?,Hạ canxi máu là gì ?,1
Đối tượng nào dễ mắc bệnh Viêm VA ?,Triệu chứng điển hình của viêm VA là gì ?,1
U máu não được chia làm mấy mức độ ?,Biểu hiện của rối loạn màu sắc trong teo thần kinh thị giác?,0
