answer,question,is_labeled,question_similaries
"Trong những tình huống rất hiếm, nếu có một khối u máu gan rất lớn hoặc nhiều u mạch máu mà không thể được điều trị bằng các phương tiện khác, có thể đề nghị phẫu thuật để loại bỏ gan và thay thế nó bằng một gan từ người khác.",Trong tình huống nào thì người bệnh u máu gan sẽ được phẫu thuật cấy ghép gan thưa bác sĩ?,0,
"Triệu chứng lâm sàng của u gan thường nghèo nàn và không đặc hiệu:– Đau tức hạ sườn phải do khối u gây căng giãn bao glisson hoặc do chèn ép. – Ăn kém, gầy sút cân. – Hiếm khi có các triệu chứng tắc mật do khối u chèn ép vào đường mật. – Hiếm gặp một số trường hợp bệnh nhân đến viện vì biến chứng của u như u vỡ gây chảy máu trong ổ bụng, hoại tử u gây sốt và đau nhiều hoặc có khi u áp xe gây viêm phúc mạc.",Triệu chứng lâm sàng của bệnh u máu gan là gì thưa bác sĩ?,0,
"U máu gan là dị dạng mạch máu bẩm sinh và là khối u lành tính hay gặp nhất ở gan, với tỷ lệ 0,4 – 20% trên siêu âm và trên giải phẫu thực nghiệm. Chúng có nguồn gốc bẩm sinh và hiếm thấy có ung thư hóa.","Thưa bác sĩ, bệnh u máu gan có hay gặp không ạ?",0,
"– Ung thư túi mật gặp nhiều ở nữ, tuổi cao, tỷ lệ nữ : nam là 9 : 4 và tuổi trung bình gặp trên 60 tuổi.– Ung thư túi mật liên quan chặt chẽ đến bệnh lý sỏi túi mật, sỏi túi mật chính là một tác nhân kích thích cơ học mãn tính từ đó dẫn đến tổn thương thoái hóa ác tính, hơn nữa người ta thấy có sự trùng hợp giữa vị trí phát sinh ung thư và vị trí của viên sỏi.– Ngoài ra một số tổn thương như: Polyp túi mật, túi mật teo, hóa sứ được xem như tổn thương tiền ung thư túi mật.",Ai có nguy cơ cao mắc bệnh ung thư túi mật ạ?,0,
"Trong hầu hết các trường hợp trước mổ do đau, chân ít vận động trong thời gian dài làm cho cơ đùi, mông teo nhỏ. Vì vậy sau mổ, đặc biệt trong 8 tuần đầu, nguy cơ trật khớp háng nhân tạo tăng cao. Thời gian sau đó, nếu người bệnh tập luyện tốt, cơ rắn chắc trở lại thì nguy cơ này sẽ giảm dần. Trong quá trình tập luyện, người bệnh có thể bước đi trên khớp háng mới thay, tuy nhiên mới đầu sẽ đau và có cảm giác cứng khớp. Khi đó bác sĩ phẫu thuật sẽ khuyên bệnh nhân nên dùng nạng hỗ trợ khi đi lại và tỳ chân mức độ hợp lý, cùng với quy trình tập luyện được bác sĩ phục hồi chức năng đưa ra, người bệnh sẽ thích nghi dần, đau sẽ giảm dần, đến lúc hết đau.","Sau thay khớp háng nhân tạo, người bệnh cần chú ý gì ạ?",0,
"Hội chứng ống cổ tay hay còn gọi là hội chứng đường hầm cổ tay hoặc hội chứng chèn ép thần kinh giữa, là một tập hợp các triệu chứng của một bệnh thần kinh ngoại biên, phụ nữ mắc bệnh nhiều hơn nam giới, do nhiều nguyên nhân khác nhau gây nên, trong đó có nguyên nhân nghề nghiệp: những nhân viên văn phòng phải làm việc bằng tay liên tục duy trì ở một tư thế cố định nào đó trong một thời gian dài, hoặc liên quan tới 1 số cơ địa đặc biệt như: béo phì, đái tháo đường… hoặc vô căn.– Triệu chứng của bệnh: tê, kiến bò các đầu ngón tay, chủ yếu 3 ngón: ngón cái, ngón trỏ, ngón giữa.– Nếu để lâu không được điều trị có thể dẫn đến yếu, teo cơ bàn tay, khó cầm nắm đồ vật. ​– Để chẩn đoán bệnh ngoài thăm khám trực tiếp của bác sĩ cần phải làm thêm các xét nghiệm, chẩn đoán hình ảnh như cộng hưởng từ cột sống cổ để loại trừ chén ép thần kinh do thoát vị đĩa đệm cổ; điện chẩn cơ là phương pháp đơn giản có thể xác định khá chính xác hội chứng ổng cổ tay cũng như loại trừ các nguyên nhân khác.","Tôi hay bị tê bì các ngón tay, không biết có phải tôi bị hội chứng ống cổ tay không ạ?",0,
"Giai đoạn đầu của ung thư tuyến tiền liệt, triệu chứng thường không rõ ràng, hoặc có biểu hiện tương tự u phì đại lành tính. Các triệu chứng kích thích: Đái nhiều lần, đái vội, đái són; Các triệu chứng chèn ép: Đái khó, phải rặn, đái rớt nước tiểu sau cùng, đái không hết; Nặng hơn có thể gặp bí đái hoàn toàn hay không hoàn toàn, nhiễm khuẩn tiết niệu, đái máu.Giai đoạn muộn, bệnh có các biểu hiện của di căn ung thư: Rối loạn tiểu tiện do u xâm lấn vùng cổ bàng quang và xâm lấn lỗ niệu quản; Di căn xương gây đau nhức xương. Nếu di căn cột sống có thể gây chèn ép tủy, gây liệt chi, rối loạn cơ tròn. Di căn hạch chậu, gây phù chân. Xuất tinh ra máu nếu di căn túi tinh.",Những triệu chứng hay gặp của bệnh ung thư tuyến tiền liệt là gì ạ?,0,
"Nguyên nhân bệnh ung thư tiền liệt tuyến chưa được xác định rõ. Các nghiên cứu không xác lập được sự liên hệ của ung thư tuyến tiền liệt với thói quen hút thuốc lá và uống rượu bia, các yếu tố dinh dưỡng như ăn nhiều thịt, chất béo, các yếu tố chuyển hóa, nội tiết, di truyền…",Nguyên nhân gây ra bệnh Ung thư tuyến tiền liệt là gì ạ,0,
"Theo số liệu của Cơ quan Thế giới Nghiên cứu Ung thư IARC, ung thư tiền liệt tuyến có khoảng 1.112.000 ca mới mỗi năm, chiếm 7,9% tổng số ung thư các loại. Tính riêng về nam giới, ung thư tiền liệt tuyến đứng thứ hai sau ung thư phổi và chiếm 15% tổng số các ung thư nam giới.","Thưa bác sĩ, bệnh Ung thư tuyến tiền liệt có hay gặp không ạ",0,
"Đa số người bệnh có tâm lý muốn tháo bột sớm, tuy nhiên tùy theo loại tổn thương, mục đích điều trị mà có thời gian mang bột khác nhau.– Trường hợp gãy xương có chỉ định điều trị bảo tồn bằng kéo nắn bó bột, tuỳ theo tuổi, vị trí gãy xương sẽ có thời gian mang bột khác nhau, theo bảng sau:– Trường hợp chấn thương phần mềm hoặc sau nắn trật khớp, thời gian bó bột thông thường 3 tuần","Cách đây 1 tháng cháu tôi bị gãy xương gót, tôi muốn hỏi thời gian mang bột là bao lâu ạ?",0,
,Làm thế nào để phát hiện được các biến chứng sau bó bột ạ?,0,
